region,location
11,North,Algeria
0,Central,Angola
39,Western,Benin
17,Southern,Botswana
40,Western,Burkina Faso
1,Central,Burundi
2,Central,Cameroon
41,Western,Cape Verde
3,Central,Central African Republic
4,Central,Chad
18,Southern,Comoros
5,Central,Congo
42,Western,Cote d'Ivoire
6,Central,Democratic Republic of Congo
30,Eastern,Djibouti
12,North,Egypt
7,Central,Equatorial Guinea
31,Eastern,Eritrea
32,Eastern,Ethiopia
8,Central,Gabon
43,Western,Gambia
44,Western,Ghana
45,Western,Guinea
46,Western,Guinea-Bissau
33,Eastern,Kenya
19,Southern,Lesotho
47,Western,Liberia
13,North,Libya
20,Southern,Madagascar
21,Southern,Malawi
48,Western,Mali
49,Western,Mauritania
22,Southern,Mauritius
14,North,Morocco
23,Southern,Mozambique
24,Southern,Namibia
50,Western,Niger
51,Western,Nigeria
9,Central,Rwanda
10,Central,Sao Tome and Principe
52,Western,Senegal
25,Southern,Seychelles
53,Western,Sierra Leone
34,Eastern,Somalia
26,Southern,South Africa
35,Eastern,South Sudan
36,Eastern,Sudan
27,Southern,Swaziland
37,Eastern,Tanzania
54,Western,Togo
15,North,Tunisia
38,Eastern,Uganda
16,North,Western Sahara
28,Southern,Zambia
29,Southern,Zimbabwe
